Force, Ch A vs Angular Velocity, Ch 1, Run #5
Angular Velocity, Ch 1 ( rad/s )	Force, Ch A ( N )
17.8	8.11
17.7	8.35
17.7	8.20
17.6	8.20
17.6	8.19
17.6	8.09
17.6	7.86
17.6	7.92
17.6	8.08
17.6	7.91
17.5	8.00
17.5	8.08
17.4	8.00
17.4	7.71
17.4	7.79
17.3	7.87
17.3	7.74
17.4	7.56
17.3	7.62
17.3	7.84
17.3	7.93
17.2	7.48
17.2	7.54
17.1	7.65
17.1	7.71
17.1	7.69
17.1	7.33
17.1	7.44
17.1	7.54
17.1	7.66
17.0	7.63
17.0	7.37
16.9	7.38
16.9	7.54
16.9	7.49
16.9	7.44
16.9	7.45
16.9	7.45
16.9	7.14
16.8	7.16
16.8	7.37
16.8	7.36
16.7	7.39
16.7	7.15
16.6	6.94
16.6	7.05
16.6	7.36
16.6	6.83
16.6	6.97
16.6	7.26
16.6	7.24
16.5	6.96
16.5	7.18
16.4	7.05
16.4	7.04
16.4	7.03
16.4	7.10
16.4	7.08
16.4	7.08
16.4	6.80
16.3	6.69
16.3	6.99
16.3	7.01
16.2	6.93
16.2	6.81
16.2	6.51
16.2	6.76
16.2	6.66
16.2	6.89
16.1	6.84
16.1	6.49
16.1	6.76
16.0	6.72
16.0	6.69
16.0	6.71
16.0	6.65
15.9	6.25
15.9	6.53
15.9	6.47
15.9	6.67
15.9	6.52
15.8	6.59
15.8	6.66
15.8	6.47
15.7	6.10
15.7	6.26
15.7	6.29
15.7	6.34
15.7	6.27
15.7	6.39
15.7	6.40
15.6	6.31
15.6	6.45
15.5	6.28
15.5	6.24
15.5	6.25
15.5	6.16
15.5	6.20
15.5	6.30
15.5	6.33
15.4	6.32
15.4	6.30
15.4	5.92
15.3	5.92
15.3	6.07
15.3	6.09
15.3	6.15
15.3	6.10
15.3	5.91
15.3	5.95
15.2	6.09
15.2	6.00
15.1	6.16
15.1	6.00
15.1	5.74
15.1	5.72
15.1	5.85
15.1	5.73
15.1	5.80
15.0	5.94
15.0	5.78
15.0	5.89
14.9	5.94
14.9	5.87
14.9	5.36
14.9	5.47
14.9	5.62
14.9	5.71
14.8	5.77
14.8	5.70
14.8	5.77
14.8	5.78
14.7	5.55
14.7	5.63
14.7	5.71
14.6	5.68
14.7	5.54
14.7	5.39
14.6	5.52
14.6	5.47
14.6	5.67
14.6	5.40
14.5	5.48
14.5	5.57
14.5	5.31
14.4	5.39
14.5	5.52
14.5	5.51
14.4	5.30
14.4	5.25
14.3	5.34
14.3	5.40
14.3	5.22
14.3	5.27
14.3	5.37
14.2	5.37
14.2	4.85
14.2	5.24
14.2	5.16
14.2	5.26
14.2	5.05
14.2	5.19
14.1	5.16
14.1	5.25
14.1	5.23
14.0	4.99
14.1	4.80
14.1	4.94
14.0	5.04
14.0	4.91
14.0	5.01
14.0	4.93
13.9	4.99
13.9	5.15
13.9	4.75
13.8	4.94
13.9	4.96
13.9	4.80
13.8	4.90
13.8	4.95
13.8	4.88
13.8	4.95
13.7	4.90
13.7	5.02
13.7	4.83
13.7	4.57
13.7	4.67
13.7	4.73
13.6	4.75
13.6	4.79
13.6	4.85
13.6	4.82
13.5	4.81
13.5	4.78
13.5	4.76
13.5	4.79
13.5	4.48
13.5	4.56
13.5	4.70
13.4	4.68
13.4	4.75
13.4	4.76
13.3	4.73
13.3	4.67
13.3	4.54
13.3	4.37
13.3	4.42
13.3	4.52
13.3	4.36
13.2	4.52
13.2	4.58
13.2	4.46
13.2	4.62
13.1	4.58
13.1	4.55
13.1	4.08
13.1	4.37
13.1	4.39
13.1	4.43
13.1	4.39
13.0	4.45
13.0	4.43
13.0	4.43
12.9	4.43
12.9	4.41
12.9	4.37
12.9	4.05
12.9	4.09
12.9	4.30
12.9	4.18
12.9	4.33
12.8	4.30
12.8	4.27
12.8	4.25
12.7	4.16
12.7	4.10
12.7	4.15
12.7	4.07
12.7	4.13
12.7	4.18
12.7	4.27
12.6	4.03
12.6	4.18
12.6	4.25
12.6	3.93
12.6	3.86
12.6	3.94
12.6	4.02
12.5	3.88
12.5	3.97
12.5	3.98
12.5	3.99
12.4	4.09
12.4	4.01
12.4	4.07
12.4	4.03
12.4	3.66
12.4	3.78
12.4	3.82
12.3	3.91
12.3	3.85
12.3	3.86
12.3	3.98
12.2	3.91
12.2	3.62
12.2	3.70
12.2	3.73
12.2	3.68
12.2	3.79
12.2	3.78
12.1	3.87
12.1	3.83
12.1	3.87
12.1	3.81
12.0	3.61
12.0	3.63
12.0	3.78
12.0	3.72
12.0	3.63
12.0	3.70
12.0	3.73
11.9	3.68
11.9	3.72
11.9	3.78
11.9	3.61
11.9	3.60
11.9	3.66
11.9	3.47
11.9	3.55
11.8	3.64
11.8	3.68
11.8	3.66
11.8	3.65
11.7	3.63
11.7	3.60
11.7	3.55
11.7	3.36
11.7	3.48
11.7	3.39
11.7	3.50
11.6	3.51
11.6	3.44
11.6	3.52
11.6	3.56
11.5	3.48
11.5	3.39
11.5	3.48
11.5	3.45
11.5	3.54
11.5	3.54
11.5	3.46
11.5	3.54
11.4	3.39
11.4	3.42
11.4	3.32
11.4	3.37
11.4	3.23
11.4	3.39
11.4	3.30
11.3	3.41
11.3	3.33
11.3	3.38
11.3	3.37
11.2	3.33
11.2	3.12
11.2	3.18
11.2	3.24
11.2	3.19
11.2	3.33
11.2	3.25
11.2	3.31
11.1	3.29
11.1	3.28
11.1	3.23
11.1	3.24
11.1	2.96
11.1	3.03
11.1	3.13
11.0	3.17
11.0	3.25
11.0	3.23
11.0	3.23
10.9	3.23
10.9	3.10
10.9	3.11
10.9	3.09
10.9	3.14
10.9	3.06
10.9	3.13
10.9	3.04
10.8	3.06
10.8	3.00
10.8	2.95
10.8	2.98
10.8	2.90
10.7	2.99
10.7	2.85
10.7	3.01
10.7	3.08
10.7	3.13
10.7	2.93
10.7	2.96
10.6	3.02
10.6	2.89
10.6	2.81
10.6	2.85
10.6	2.93
10.6	2.81
10.6	2.82
10.6	2.87
10.5	2.90
10.5	2.88
10.5	2.96
10.5	2.90
10.5	2.90
10.4	2.75
10.4	2.84
10.4	2.80
10.4	2.82
10.4	2.87
10.4	2.93
10.4	2.80
10.3	2.84
10.3	2.78
10.3	2.71
10.3	2.77
10.3	2.67
10.3	2.72
10.3	2.71
10.3	2.75
10.2	2.75
10.2	2.81
10.2	2.78
10.2	2.75
10.2	2.67
10.2	2.59
10.2	2.71
10.2	2.60
10.1	2.65
10.1	2.63
10.1	2.72
10.1	2.68
10.0	2.65
10.0	2.69
10.0	2.62
10.0	2.44
10.0	2.52
10.0	2.53
10.0	2.53
10.0	2.59
10.0	2.59
9.9	2.60
9.9	2.59
9.9	2.54
9.9	2.59
9.9	2.56
9.9	2.35
9.9	2.41
9.9	2.44
9.8	2.43
9.8	2.46
9.8	2.48
9.8	2.50
9.7	2.53
9.7	2.44
9.7	2.43
9.7	2.38
9.7	2.44
9.7	2.41
9.7	2.50
9.7	2.40
9.6	2.47
9.6	2.49
9.6	2.44
9.6	2.35
9.6	2.35
9.6	2.33
9.6	2.32
9.6	2.36
9.5	2.38
9.5	2.39
9.5	2.40
9.5	2.40
9.5	2.38
9.4	2.32
9.4	2.35
9.4	2.35
9.4	2.25
9.4	2.26
9.4	2.31
9.4	2.32
9.4	2.32
9.3	2.28
9.3	2.32
9.3	2.23
9.3	2.29
9.3	2.18
9.3	2.26
9.3	2.29
9.3	2.27
9.3	2.29
9.2	2.29
9.2	2.27
9.2	2.26
9.2	2.14
9.2	2.17
9.2	2.13
9.2	2.23
9.2	2.29
9.1	2.29
9.1	2.06
9.1	2.12
9.1	2.11
9.1	2.19
9.0	2.01
9.0	2.02
9.0	2.03
9.0	2.02
9.0	2.07
9.0	2.12
9.0	2.08
9.0	2.08
8.9	2.14
8.9	2.08
8.9	2.08
8.9	2.04
8.9	1.98
8.9	2.01
8.9	2.04
8.9	2.03
8.9	2.06
8.8	2.08
8.8	2.06
8.8	2.08
8.8	1.97
8.8	1.95
8.8	1.97
8.8	1.98
8.8	2.01
8.7	1.99
8.7	2.04
8.7	2.01
8.7	2.04
8.7	1.97
8.7	1.95
8.6	1.95
8.6	1.94
8.6	1.95
8.6	1.95
8.6	1.95
8.6	1.96
8.6	1.99
8.6	1.97
8.5	1.95
8.5	1.83
8.5	1.86
8.5	1.81
8.5	1.89
8.5	1.91
8.5	1.95
8.5	1.95
8.4	1.95
8.4	1.92
8.4	1.81
8.4	1.86
8.4	1.72
8.4	1.78
8.4	1.81
8.4	1.77
8.4	1.79
8.3	1.83
8.3	1.86
