Force, Ch A vs Angular Velocity, Ch 1, Run #5
Angular Velocity, Ch 1 ( rad/s )	Force, Ch A ( N )
14.7	3.05
14.7	2.92
14.7	2.96
14.7	2.98
14.6	2.92
14.6	2.93
14.6	3.00
14.5	2.94
14.5	2.93
14.5	2.96
14.5	2.88
14.5	2.88
14.4	2.84
14.4	2.90
14.4	2.83
14.3	2.90
14.3	2.90
14.3	2.88
14.3	2.88
14.3	2.86
14.3	2.81
14.2	2.82
14.2	2.78
14.2	2.78
14.1	2.72
14.1	2.72
14.1	2.81
14.1	2.78
14.1	2.81
14.1	2.76
14.0	2.78
14.0	2.68
14.0	2.78
13.9	2.60
13.9	2.71
13.9	2.66
13.8	2.69
13.8	2.72
13.8	2.72
13.8	2.72
13.8	2.64
13.8	2.69
13.8	2.59
13.7	2.63
13.7	2.45
13.6	2.67
13.6	2.65
13.6	2.60
13.6	2.62
13.6	2.60
13.6	2.59
13.6	2.54
13.5	2.59
13.5	2.47
13.5	2.59
13.4	2.50
13.4	2.52
13.4	2.50
13.4	2.56
13.4	2.53
13.4	2.50
13.3	2.41
13.3	2.49
13.3	2.36
13.2	2.44
13.2	2.35
13.2	2.45
13.2	2.44
13.2	2.44
13.2	2.44
13.1	2.38
13.1	2.42
13.1	2.33
13.1	2.39
13.0	2.33
13.0	2.41
13.0	2.38
13.0	2.35
12.9	2.35
12.9	2.35
12.9	2.32
12.9	2.32
12.9	2.24
12.8	2.22
12.8	2.25
12.8	2.23
12.7	2.29
12.7	2.27
12.7	2.24
12.7	2.29
12.7	2.17
12.7	2.25
12.7	2.20
12.6	2.11
12.6	2.25
12.6	2.17
12.5	2.20
12.5	2.23
12.5	2.20
12.5	2.18
12.5	2.17
12.5	2.14
12.5	2.17
12.4	2.07
12.4	2.12
12.4	2.04
12.3	2.11
12.3	2.11
12.3	2.11
12.3	2.09
12.3	2.14
12.3	2.06
12.2	2.08
12.2	2.05
12.2	2.03
12.2	2.07
12.1	2.08
12.1	2.06
12.1	2.04
12.1	2.08
12.1	2.04
12.1	2.06
12.0	1.95
12.0	1.99
12.0	1.91
11.9	1.92
11.9	2.01
11.9	1.98
11.9	2.01
11.9	1.96
11.9	1.99
11.9	1.95
11.8	1.91
11.8	1.88
11.8	1.85
11.8	1.92
11.7	1.89
11.7	1.88
11.7	1.93
11.7	1.91
11.7	1.92
11.7	1.89
11.6	1.86
11.6	1.83
11.6	1.83
11.6	1.80
11.5	1.86
11.5	1.86
11.5	1.85
11.5	1.86
11.5	1.86
11.5	1.83
11.5	1.80
11.4	1.80
11.4	1.72
11.4	1.77
11.3	1.78
11.3	1.80
11.3	1.82
11.3	1.83
11.3	1.79
11.3	1.83
11.3	1.71
11.2	1.76
11.2	1.71
11.2	1.68
11.2	1.71
11.1	1.72
11.1	1.74
11.1	1.75
11.1	1.74
11.1	1.71
11.1	1.68
11.0	1.65
11.0	1.65
11.0	1.66
11.0	1.70
11.0	1.68
11.0	1.69
11.0	1.68
10.9	1.68
10.9	1.64
10.9	1.61
10.9	1.62
10.8	1.59
10.8	1.56
10.8	1.62
10.8	1.62
10.8	1.62
10.8	1.62
10.8	1.63
10.7	1.59
10.7	1.56
10.7	1.56
10.7	1.48
10.6	1.55
10.6	1.59
10.6	1.57
10.6	1.56
10.6	1.56
10.6	1.57
10.6	1.56
10.5	1.48
10.5	1.49
10.5	1.49
10.5	1.46
10.4	1.53
10.4	1.48
10.4	1.53
10.4	1.53
10.4	1.48
10.4	1.50
10.4	1.48
10.3	1.43
10.3	1.49
10.3	1.43
10.3	1.46
10.3	1.46
10.3	1.46
10.3	1.46
10.2	1.45
10.2	1.46
10.2	1.40
10.2	1.40
10.1	1.38
10.1	1.41
10.1	1.42
10.1	1.40
10.1	1.41
10.1	1.43
10.1	1.39
10.0	1.40
10.0	1.40
10.0	1.39
10.0	1.31
9.9	1.36
9.9	1.37
9.9	1.37
9.9	1.37
9.9	1.37
9.9	1.37
9.9	1.37
9.9	1.34
9.8	1.29
9.8	1.29
9.8	1.28
9.8	1.33
9.8	1.28
9.8	1.33
9.8	1.34
9.7	1.30
9.7	1.31
9.7	1.27
9.7	1.30
9.6	1.25
9.6	1.24
9.6	1.28
9.6	1.25
9.6	1.28
9.6	1.28
9.6	1.25
9.6	1.25
9.5	1.25
9.5	1.20
9.5	1.19
9.5	1.22
9.4	1.22
9.4	1.22
9.4	1.21
9.4	1.22
9.4	1.22
9.4	1.22
9.4	1.19
9.4	1.16
